GHI_1,GHI_2,GHI_3,GHI_4,GHI_5,GHI_6,GHI_7,GHI_8,GHI_9,GHI_10,GHI_11,GHI_12,DNI_1,DNI_2,DNI_3,DNI_4,DNI_5,DNI_6,DNI_7,DNI_8,DNI_9,DNI_10,DNI_11,DNI_12,DIF_1,DIF_2,DIF_3,DIF_4,DIF_5,DIF_6,DIF_7,DIF_8,DIF_9,DIF_10,DIF_11,DIF_12,TMP_1,TMP_2,TMP_3,TMP_4,TMP_5,TMP_6,TMP_7,TMP_8,TMP_9,TMP_10,TMP_11,TMP_12
4.810959,5.0739727,5.057534,5.2273974,5.4027395,5.1972604,5.2027397,5.241096,4.9945207,5.950685,6.2,5.238356,2.9643836,3.4,3.6657534,4.9260273,6.786301,7.0547943,6.578082,5.3561645,3.7232876,5.389041,5.9369864,3.8383563,2.9424658,2.9178083,2.8027396,2.4136987,1.8657534,1.7178082,1.860274,2.2684932,2.7452054,2.5616438,2.4520547,2.8328767,12.4,12.4,12.7,11.7,10.1,9.4,8.7,9.9,10.5,12.5,13.5,12.9
4.490411,4.9041095,5.1671233,5.131507,4.5945206,4.2219176,4.7835617,5.1452055,5.1178083,5.3753424,5.2219176,5.180822,2.4356165,3.0657535,3.8,4.479452,4.1726027,3.8054795,4.969863,4.8575344,3.868493,4.049315,3.7479453,3.7452054,2.9561644,2.9561644,2.8109589,2.528767,2.3671234,2.2931507,2.1945205,2.4,2.7561643,2.819178,2.860274,2.8383563,23.3,23.2,24.0,22.9,20.9,21.0,20.7,22.0,22.5,24.1,24.3,23.4
6.0739727,6.260274,6.3260274,5.8821917,5.4821916,5.238356,5.1150684,5.4876714,5.810959,7.1123285,7.4602737,6.6,5.6356163,6.027397,6.682192,6.731507,7.120548,7.290411,6.4,6.10137,5.660274,8.326028,9.131507,7.0356164,2.5178082,2.4410958,2.2219179,2.049315,1.7917808,1.6630137,1.8821918,2.1150684,2.4,1.8821918,1.6986301,2.1863015,11.3,11.2,11.5,10.1,8.2,7.2,6.6,7.9,8.8,11.1,12.3,11.8
6.7561646,6.5726027,6.868493,6.2493153,5.7506847,5.4438357,5.367123,5.791781,6.4931507,7.5150685,8.087671,7.50137,7.336986,6.813699,8.120548,7.7945204,8.0,8.013699,7.2273974,7.0,7.4575343,9.367124,10.69589,9.345205,2.128767,2.260274,1.8876712,1.8191781,1.6136986,1.5232877,1.7232877,1.9315069,2.0027397,1.6356164,1.339726,1.6383562,13.1,12.8,12.7,11.2,8.7,7.2,6.7,8.5,10.4,12.7,14.1,13.9
3.8657534,4.350685,4.663014,4.8575344,4.3534245,4.2493153,4.4547944,4.419178,4.1945205,4.939726,5.057534,4.4136987,1.5863013,2.180822,2.860274,3.9150684,3.6821918,3.9863014,4.1945205,3.238356,2.2164383,3.2,3.419178,2.3643835,2.8657534,2.9671233,2.8931506,2.5972602,2.408219,2.249315,2.2876713,2.6,2.8465753,2.9232876,2.9013698,2.9342465,20.5,20.4,21.2,19.9,18.1,18.0,17.5,18.7,19.1,20.9,21.4,20.8
5.939726,6.3863015,6.441096,6.2246575,5.6958904,5.6054792,5.5835614,5.879452,6.09863,7.271233,7.6465755,6.4849315,5.3232875,6.309589,6.890411,7.5178084,7.528767,8.2,7.6054792,7.027397,6.287671,8.687672,9.605479,6.758904,2.5835617,2.3835616,2.1863015,1.9013698,1.7369863,1.5178082,1.6794521,1.9506849,2.2821918,1.8,1.5863013,2.249315,10.8,10.7,11.3,10.2,8.9,8.2,7.8,8.7,9.2,10.9,12.0,11.3
4.4602737,4.7753425,4.553425,4.8520546,4.3534245,4.027397,4.3041096,4.917808,4.7232876,5.5397263,5.271233,4.8356166,2.3835616,2.8547945,2.6904109,3.950685,3.7479453,3.50137,3.8849316,4.4328766,3.1452055,4.430137,3.8383563,3.0657535,2.9561644,2.9671233,2.8931506,2.580822,2.3863013,2.2849314,2.3123288,2.4410958,2.8164384,2.750685,2.8493152,2.9150684,28.4,28.3,29.1,27.8,25.5,25.1,24.8,26.4,27.3,29.0,29.2,28.5
6.186301,6.021918,6.3150687,5.70137,5.663014,5.4958906,5.2958903,5.7260275,6.131507,7.1534247,7.7780824,7.2164383,5.909589,5.4547944,6.660274,6.2438354,7.6986303,8.156164,6.980822,6.791781,6.4931507,8.438356,9.926027,8.619178,2.4575343,2.5671232,2.2273972,2.1506848,1.6767123,1.5013698,1.7726028,1.9753425,2.2219179,1.8547945,1.5123287,1.8109589,12.5,12.4,11.9,10.8,8.7,6.9,6.2,7.7,10.3,12.3,13.4,13.2
5.5397263,5.769863,6.00274,5.9643836,5.7726026,5.336986,5.3315067,5.7534246,6.1972604,7.057534,7.4082193,6.1342463,4.4054794,4.849315,5.8027396,6.838356,7.830137,7.4054794,6.8876715,6.720548,6.5726027,8.147945,9.00274,5.879452,2.7589042,2.6931508,2.4273973,2.041096,1.6684932,1.6630137,1.8109589,2.0082192,2.2164383,1.9287671,1.7287672,2.449315,10.3,10.1,10.3,9.1,7.4,6.5,6.1,7.6,8.5,10.6,11.6,10.9
4.2958903,4.687671,4.789041,5.1342463,4.7753425,4.4246573,4.70137,4.7342467,4.320548,5.210959,5.7479453,4.90137,2.1424658,2.7150686,3.1506848,4.7232876,4.9945207,4.7178082,5.1232877,4.09863,2.4767122,3.7589042,4.8657537,3.1726027,2.9452055,2.9671233,2.8520548,2.4410958,2.1835616,2.1068494,2.1068494,2.4657533,2.8273973,2.8493152,2.6767123,2.909589,21.3,21.2,21.8,20.4,18.3,17.7,17.4,18.8,19.8,21.7,22.4,21.7
5.89863,6.079452,6.3315067,5.920548,5.690411,5.4,5.2164383,5.630137,6.030137,7.2493153,7.5041094,6.558904,5.2219176,5.5917807,6.687671,6.8273973,7.7479453,7.7972603,6.690411,6.490411,6.210959,8.673972,9.238357,6.9315066,2.6054795,2.539726,2.2219179,2.030137,1.6712328,1.569863,1.830137,2.041096,2.2849314,1.8,1.6739726,2.210959,10.4,10.2,10.5,9.4,7.7,6.7,6.1,7.6,8.4,10.7,11.8,11.1
6.9589043,7.156164,7.186301,6.5424657,5.890411,5.5342464,5.5917807,6.1534247,6.9753423,7.9123287,8.528768,7.6438355,7.860274,8.260274,8.8547945,8.449315,8.183561,8.030137,7.690411,7.8630137,8.632876,10.315068,11.756165,9.7260275,2.0027397,1.9178082,1.7260274,1.6931506,1.6,1.5452055,1.6575342,1.769863,1.7452055,1.4191781,1.1123288,1.5479453,11.3,11.1,11.7,10.5,9.3,8.1,7.9,8.6,9.4,10.6,12.3,11.7
4.531507,4.7835617,4.821918,5.2493153,4.6356163,4.3753424,4.5753427,4.830137,4.6958904,5.5561643,5.5753427,5.030137,2.4958904,2.868493,3.1835616,4.9369864,4.509589,4.4657536,4.652055,4.260274,3.1068494,4.471233,4.4821916,3.421918,2.958904,2.9643836,2.860274,2.419178,2.2767124,2.1616437,2.2,2.4575343,2.8136985,2.7424657,2.7479453,2.8849316,20.2,20.1,20.6,19.3,17.1,16.4,16.1,17.5,18.6,20.5,21.0,20.5
